Symbol,Description,ISIN,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Exchange
BEL,Bharat Electronics Limited,INE263A01024,391.5,INR,-0.16575290067575604,10632551,0.7150833486930651,2838752644933,INR,46.58329664576467,8.4043,INR,11.690986896313408,0.733874082657397,Electronic technology,NSE
BEL,Bharat Electronics Limited,INE263A01024,392,INR,0.9398738251577126,998678,0.6015510685762845,2838752644933,INR,46.64279000035697,8.4043,INR,11.690986896313408,0.733874082657397,Electronic technology,BSE
ASIANPAINT,Asian Paints Ltd.,INE021A01026,2775,INR,-1.2455516014234875,820097,0.6368173892084332,2642589812012,INR,55.85748792270532,49.68,INR,32.43903219270838,0.998185117967332,Process industries,NSE
ASIANPAINT,Asian Paints Ltd.,INE021A01026,2745,INR,-0.3629764065335753,54031,0.7142696618816023,2642589812012,INR,55.2536231884058,49.68,INR,32.43903219270838,0.998185117967332,Process industries,BSE
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,283.4,INR,-1.254355400696872,7656558,0.910521738977389,2641371398438,INR,16.54822868554278,17.1257,INR,2.9547558644238885,3.16901408450704,Utilities,NSE
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,282.5,INR,-0.528169014084507,245646,0.4015565576242633,2641371398438,INR,16.49567608915256,17.1257,INR,2.9547558644238885,3.16901408450704,Utilities,BSE
DMART,Avenue Supermarts Ltd.,INE192R01011,4023,INR,0.199252801992528,448874,0.621073787950443,2610288378662,INR,85.75996589213388,46.91,INR,13.008913514815704,0,Retail trade,NSE
DMART,Avenue Supermarts Ltd.,INE192R01011,3999,INR,-0.07496251874062969,6635,0.1103121492996384,2610288378662,INR,85.24834790023449,46.91,INR,13.008913514815704,0,Retail trade,BSE
COALINDIA,Coal India Ltd.,INE522F01014,417.6,INR,0.3846153846153901,4057342,0.4738864997227116,2554142908529,INR,8.247487834165456,50.6336,INR,-5.8473507852624245,6.39401616600314,Energy minerals,NSE
COALINDIA,Coal India Ltd.,INE522F01014,414.35,INR,-0.024128362890569646,131736,0.2847389223166962,2554142908529,INR,8.183301207103584,50.6336,INR,-5.8473507852624245,6.39401616600314,Energy minerals,BSE
SHRIRAMFIN,Shriram Finance Limited,INE721A01047,1080.3,INR,0.9626168224299023,148120,0.44607041238926537,2517654880371,INR,19.076461239625637,56.63,INR,10.003885003885015,1.00934579439252,Finance,BSE
